content,data
"크리스마스 🎄..네일 / 패디 / 파고드는발톱 / 문제성발톱 / 발각질 / 속눈썹펌원장 𝟙:𝟙 시술𝕒𝕞 𝟙𝟘:𝟛𝟘 ~ 𝕡𝕞𝟚𝟘:𝟘𝟘 (월요일휴무)카톡𝕀𝔻 : 네일행복지수 또는 jisoonail 검색📞𝟘𝟙𝟘 𝟟𝟝𝟝𝟞 𝟛𝟘𝟡𝟡경기 화성시 수노을중앙로 𝟙𝟜𝟚 센타프라자𝟚𝟘𝟞호새솔동 파리바게트건물..𖤐 이벤트 아트 (이달의아트)정가보다 할인된 금액입니다케어+오버레이 포함가 입니다 예약시 미리 말씀해주세요 (모든 스톤 정품 스와로브스키 사용) 𖤐 젤제거 비용은 별도 입니다 젤시술시 젤제거비용 만원 (자샵,타샵)젤제거만 하는경우 자샵 만원 타샵 이만원회원권 결제 하신분 제거비용 없음 𖤐 예약제로 운영되는 샵 입니다𖤐 예약은 카카오채널로 부탁드려요  카카오톡 채널 검색 네일행복지수 또는 jisoonail 검색𖤐 노쇼방지/당일취소 방지차원으로 원활한 예약을 위해 예약금을 받습니다 불편하시겠지만 양해부탁 드립니다🙏🏻 신중하게 고민후 예약문의 주시기 바랍니다 예약금 𝟙만원 입금 확인후 예약확정(𝟛𝟘분이내) 예약금 환불 어려운점 참고하시고 예약 부탁드려요***아트 예약후 케어만, 젤제거만 ✖️𖤐 1인 원장 시술꼼꼼하게 한분 한분 시술 해드려요시간은 넉넉히 잡고 와주세요아트 약 한시간반 소요(젤제거 약 30분)",2021-12-08
오늘 유명한 빵집에 왔다 :) 지하철로 약 40분 거리에 있지만 여행하는 기분으로 오니 뭐든 설렌다.슈톨렌을 주문해보고 반해버린 빵집친구가 추천한 뺑오쇼콜라와내 스타일의 70길롤 등등을 고르고아주아주 유명한 바게뜨 샌드위치와 향긋한 커피를 주문했다. 많은 사람들이 오고가는 활기찬 곳에서여유롭게 책을 읽고 내년 계획도 세워본다.근처에 친구가 일하고 있어서 얼굴도 잠깐 보고 :) 즐거운 하루다☺️#우스블랑 #서울여행 #감사일기 #감사한하루 #카페투어 #바게뜨샌드위치 #내년계획 #행복한하루 #happyday #cafetour #oursblanc #seoultravel #sandwich #baguettesandwich #bakery,2021-12-08
아침 간식 기달리는중😉#또미의하루#강아지일상#장모치와와#꽃보다예쁜너 #치와와#치와와그램 #댕댕이의하루#행복한하루 #펫스타그램#댕댕이그램#견스타그램#チワワ#チワワ好き#ロンチー #멍스타그램🐾🐾#chihuahua#petstagram,2021-12-08
...제주도에서 내원하시는 환자분이 귤2박스 보내주셨어요~~.원장님 한박스 직원들과 한박스 나눴는데도 엄청많네여~~.감사합니다😍🥰....#환자분이보내주신제주도귤#당도높고맛있어요#감사합니다#힘내서일하자#효돈감귤 #맛있어요#행복한하루 #직장인그램,2021-12-08
#데이트 #여친짤 #연애일기 #연인 #부부 #남편 #와이프 #알콩달콩 #행복한하루 #내사랑 #남친몬 #여친몬 #곰신 #곰신스타그램 #러브러브 #알라뷰 #사랑중 #내꺼 #연애하고싶다 #연애상담 #n년차부부 #n년차커플 #커플계정 #연상연하커플 #데이트코스 #사계절스냅(la),2021-12-08
회사 재단사님이 주신 총각김치 국물까지싹싹 비우고 고마움으로 같이 #점심 🥄🥢#해물덮밥#마시썽#다먹음거래처 현장 소장님께서 갑자기내 목소리가 좋으시단다.엥? 하니 친절 하다고 칭찬 받음.그러면서 고맙다고 하심 :)마트 알바 3년 했으면 이 정도야 히히히.아무래도 건설 현장이라 말투가 다 쎄다.속마음은 아닌데 환경이 그런걸 아니까.그래도 까칠할 땐 나도 톡톡 쏘는 #개꼬라지오늘도 빼지 않는 사직서_또 오후가 시작된다. 화이팅!#좋은하루#감사한하루#행복한하루#드라이브#렉서스#좋다,2021-12-08
Tuesday night🖤#일상 #기록 #데일리 #일상기록 #일상그램 #행복한하루 #신혼부부 #부부 #부부일상,2021-12-08
"Rurikim은 하나의 상품도 꼼꼼한 포장으로 나간답니다 ☕️🤍#오늘도 #행복한하루 #보내세요 ,",2021-12-08
안녕하세요. #waitcoffee_tea 카페웨이트입니다~~..살짝 졸음이 밀려오는 수요일이내요~한주의 절반이 지나가는 날이라 그런가? 카페인도 더 흡수가 잘되고 당도 더빨리 떨어지는거 같아요~나만그런가요?! 😁그래도 힘내서 행복한 시간 보내봐요♡..디저트흑임자바스크치즈케익바스크치즈케익머랭쿠키초코칩쿠키러스크수제팥붕어빵햄치즈샌드위치..늦은밤까지 웨이트 합니다~기다림의 공간 웨이트에서 봐요♡동대문구 망우로21길 20 1층 #서울맛집 #서울카페 #카페투어 #카페 #카페스타그램 #카페추천 #회기카페 #회기맛집 #휘경동카페 #휘경동맛집 #데이트코스 #조용한카페 #데이트장소 #주차장 #달달구리 #디저트 #디저트카페 #카페인충전 #수요일 #붕어빵 #행복한하루 #화이팅,2021-12-08
어린이집가는공주오늘도 어린이집에서 많은걸 보고 많은걸 배우고 많은걸 경험해보는 하루가되길❤시국이 시국인지라 많은걸 경험해볼 기회가 없었던 두찌😢하루빨리 코로나가 좋아지길 바래보장🙏#6세딸랑구 #미세먼지가득한날 #어린이집#등원길 #일상 #생활 #오늘도 #행복한하루#오늘도잘다녀와 #오늘도화이팅 #사랑하는내딸❤️,2021-12-08
🙆‍♀️하루시작은 역시 빵과함께🥯대전으로 출장가는 엄마 아침챙겨준다고 집앞 던킨에가서 도넛 사다주는예쁜 울채꽁이💜#너없음어찌살꼬 #딸바보 #도넛 #트리도넛🎄 #사랑해 #행복한하루,2021-12-08
